Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
275,0.58,1.91,1.9,2.95,71007.35294,112951.0791,111557.1429,472000,
276,0.58,1.89,1.89,2.95,71007.35294,110182.9787,110182.9787,472000,
277,0.57,1.91,1.9,2.94,69527.47253,112951.0791,111557.1429,457333.3333,
278,0.57,1.9,1.87,2.98,69527.47253,111557.1429,107492.3077,521500,
279,0.58,1.89,1.87,2.98,71007.35294,110182.9787,107492.3077,521500,
280,0.57,1.91,1.88,2.98,69527.47253,112951.0791,108828.169,521500,
281,0.58,1.91,1.87,2.95,71007.35294,112951.0791,107492.3077,472000,
282,0.58,1.9,1.89,2.95,71007.35294,111557.1429,110182.9787,472000,
283,0.59,1.9,1.87,2.96,72498.15498,111557.1429,107492.3077,487529.4118,
284,0.58,1.91,1.9,2.95,71007.35294,112951.0791,111557.1429,472000,
285,0.58,1.91,1.89,2.98,71007.35294,112951.0791,110182.9787,521500,
286,0.57,1.92,1.87,2.97,69527.47253,114365.2174,107492.3077,504000,
287,0.58,1.93,1.88,2.98,71007.35294,115800,108828.169,521500,
288,0.57,1.9,1.9,2.96,69527.47253,111557.1429,111557.1429,487529.4118,
289,0.57,1.92,1.9,2.94,69527.47253,114365.2174,111557.1429,457333.3333,
290,0.58,1.92,1.87,2.98,71007.35294,114365.2174,107492.3077,521500,
291,0.58,1.91,1.9,2.95,71007.35294,112951.0791,111557.1429,472000,
292,0.57,1.91,1.9,2.96,69527.47253,112951.0791,111557.1429,487529.4118,
293,0.58,1.93,1.9,2.97,71007.35294,115800,111557.1429,504000,
294,0.57,1.91,1.88,2.98,69527.47253,112951.0791,108828.169,521500,
295,0.58,1.92,1.9,2.97,71007.35294,114365.2174,111557.1429,504000,
296,0.58,1.91,1.88,2.94,71007.35294,112951.0791,108828.169,457333.3333,
297,0.57,1.91,1.89,2.96,69527.47253,112951.0791,110182.9787,487529.4118,
298,0.57,1.93,1.9,2.98,69527.47253,115800,111557.1429,521500,
299,0.56,1.92,1.9,2.97,68058.39416,114365.2174,111557.1429,504000,
300,0.58,1.92,1.9,2.97,71007.35294,114365.2174,111557.1429,504000,
301,0.58,1.93,1.88,2.97,71007.35294,115800,108828.169,504000,
302,0.58,1.92,1.88,2.95,71007.35294,114365.2174,108828.169,472000,
303,0.58,1.93,1.89,2.97,71007.35294,115800,110182.9787,504000,
304,0.58,1.93,1.87,2.96,71007.35294,115800,107492.3077,487529.4118,
305,0.57,1.91,1.88,2.96,69527.47253,112951.0791,108828.169,487529.4118,
306,0.57,1.92,1.89,2.96,69527.47253,114365.2174,110182.9787,487529.4118,
307,0.58,1.93,1.9,2.94,71007.35294,115800,111557.1429,457333.3333,
308,0.57,1.93,1.9,2.96,69527.47253,115800,111557.1429,487529.4118,
309,0.58,1.92,1.9,2.95,71007.35294,114365.2174,111557.1429,472000,
310,0.59,1.92,1.88,2.95,72498.15498,114365.2174,108828.169,472000,
311,0.57,1.94,1.89,2.96,69527.47253,117255.8824,110182.9787,487529.4118,
312,0.58,1.93,1.89,2.94,71007.35294,115800,110182.9787,457333.3333,
313,0.58,1.95,1.9,2.95,71007.35294,118733.3333,111557.1429,472000,
314,0.58,1.94,1.9,2.95,71007.35294,117255.8824,111557.1429,472000,
315,0.59,1.96,1.89,2.96,72498.15498,120232.8358,110182.9787,487529.4118,
316,0.58,1.94,1.88,2.95,71007.35294,117255.8824,108828.169,472000,
317,0.58,1.94,1.9,2.95,71007.35294,117255.8824,111557.1429,472000,
318,0.57,1.93,1.88,2.95,69527.47253,115800,108828.169,472000,
319,0.58,1.93,1.88,2.96,71007.35294,115800,108828.169,487529.4118,
320,0.59,1.92,1.9,2.97,72498.15498,114365.2174,111557.1429,504000,
321,0.57,1.94,1.89,2.97,69527.47253,117255.8824,110182.9787,504000,
322,0.6,1.93,1.87,2.93,74000,115800,107492.3077,443459.4595,
323,0.58,1.93,1.9,2.95,71007.35294,115800,111557.1429,472000,
324,0.59,1.94,1.87,2.95,72498.15498,117255.8824,107492.3077,472000,
325,0.58,1.93,1.87,2.97,71007.35294,115800,107492.3077,504000,
326,0.75,1.94,1.88,2.96,97941.17647,117255.8824,108828.169,487529.4118,
327,0.73,1.94,1.88,2.95,94587.54864,117255.8824,108828.169,472000,
328,0.68,1.95,1.89,2.96,86427.48092,118733.3333,110182.9787,487529.4118,
329,0.66,1.93,1.89,2.95,83250,115800,110182.9787,472000,
330,0.66,1.93,1.9,2.94,83250,115800,111557.1429,457333.3333,
331,0.64,1.94,1.9,2.95,80120.30075,117255.8824,111557.1429,472000,
332,0.63,1.95,1.89,2.94,78573.03371,118733.3333,110182.9787,457333.3333,
333,0.65,1.94,1.88,2.94,81679.24528,117255.8824,108828.169,457333.3333,
334,0.63,1.94,1.88,2.95,78573.03371,117255.8824,108828.169,472000,
335,0.63,1.95,1.89,2.96,78573.03371,118733.3333,110182.9787,487529.4118,
336,0.63,1.95,1.89,2.94,78573.03371,118733.3333,110182.9787,457333.3333,
337,0.62,1.95,1.9,2.96,77037.31343,118733.3333,111557.1429,487529.4118,
338,0.62,1.95,1.89,2.95,77037.31343,118733.3333,110182.9787,472000,
